timestamp,hum_air,temperature,lumiere
2026-04-23 17:32:37,16.0,34.5,549
2026-04-23 17:32:39,16.0,34.5,558
2026-04-23 17:32:41,16.0,34.5,545
2026-04-23 17:32:43,16.0,34.5,545
2026-04-23 17:32:45,16.0,34.5,554
2026-04-23 17:32:47,16.0,34.5,557
2026-04-23 17:32:49,16.0,34.5,530
2026-04-23 17:32:51,16.0,34.5,532
2026-04-23 17:32:53,16.0,34.5,535
2026-04-23 17:32:55,16.0,34.5,531
2026-04-23 17:32:57,16.0,34.5,529
2026-04-23 17:32:59,16.0,34.5,533
2026-04-23 17:33:01,16.0,34.5,540
2026-04-23 17:33:03,16.0,34.5,546
2026-04-23 17:33:05,16.0,34.5,535
2026-04-23 17:33:07,16.0,34.5,548
2026-04-23 17:33:09,16.0,34.5,533
2026-04-23 17:33:11,16.0,34.5,545
2026-04-23 17:33:13,16.0,34.5,537
2026-04-23 17:33:16,16.0,34.5,530
2026-04-23 17:33:18,16.0,34.5,537
2026-04-23 17:33:20,16.0,34.5,542
2026-04-23 17:33:22,15.0,34.5,541
2026-04-23 17:33:24,15.0,34.6,518
2026-04-23 17:33:26,15.0,34.6,523
2026-04-23 17:33:28,15.0,34.6,533
2026-04-23 17:33:30,15.0,34.6,520
2026-04-23 17:33:32,15.0,34.6,532
2026-04-23 17:33:34,15.0,34.6,520
2026-04-23 17:33:36,15.0,34.6,529
2026-04-23 17:33:38,15.0,34.6,520
2026-04-23 17:33:40,15.0,34.6,525
2026-04-23 17:33:42,15.0,34.6,523
2026-04-23 17:33:44,15.0,34.6,525
2026-04-23 17:33:46,15.0,34.6,524
2026-04-23 17:33:48,15.0,34.6,523
2026-04-23 17:33:50,15.0,34.6,528
2026-04-23 17:33:52,15.0,34.6,519
2026-04-23 17:33:54,15.0,34.6,530
2026-04-23 17:33:56,15.0,34.6,521
2026-04-23 17:33:58,15.0,34.6,519
2026-04-23 17:34:00,15.0,34.6,528
2026-04-23 17:34:02,15.0,34.6,523
2026-04-23 17:34:04,15.0,34.6,514
2026-04-23 17:34:06,15.0,34.6,516
2026-04-23 17:34:08,15.0,34.6,520
2026-04-23 17:34:10,15.0,34.6,522
2026-04-23 17:34:12,15.0,34.6,522
2026-04-23 17:34:14,15.0,34.6,520
2026-04-23 17:34:16,15.0,34.6,517
2026-04-23 17:34:18,15.0,34.6,513
2026-04-23 17:34:21,15.0,34.6,514
2026-04-23 17:34:23,15.0,34.6,518
2026-04-23 17:34:25,15.0,34.6,522
2026-04-23 17:34:27,15.0,34.6,524
2026-04-23 17:34:29,15.0,34.6,525
2026-04-23 17:34:31,15.0,34.6,524
2026-04-23 17:34:33,16.0,34.6,515
2026-04-23 17:34:35,16.0,34.6,523
2026-04-23 17:34:37,16.0,34.6,528
2026-04-23 17:34:39,16.0,34.6,515
2026-04-23 17:34:41,16.0,34.6,525
2026-04-23 17:34:43,16.0,34.6,526
2026-04-23 17:34:45,16.0,34.6,516
2026-04-23 17:34:47,16.0,34.6,512
2026-04-23 17:34:49,15.0,34.6,512
2026-04-23 17:34:51,15.0,34.6,517
2026-04-23 17:34:53,15.0,34.6,526
2026-04-23 17:34:55,15.0,34.6,517
2026-04-23 17:34:57,15.0,34.6,526
2026-04-23 17:34:59,15.0,34.6,519
2026-04-23 17:35:01,15.0,34.6,527
2026-04-23 17:35:03,15.0,34.6,514
2026-04-23 17:35:05,15.0,34.6,520
2026-04-23 17:35:07,15.0,34.6,525
2026-04-23 17:35:09,15.0,34.6,524
2026-04-23 17:35:11,15.0,34.6,522
2026-04-23 17:35:13,15.0,34.6,526
2026-04-23 17:35:15,15.0,34.6,523
2026-04-23 17:35:17,15.0,34.6,517
2026-04-23 17:35:19,15.0,34.6,520
2026-04-23 17:35:21,15.0,34.6,525
2026-04-23 17:35:23,15.0,34.6,513
2026-04-23 17:35:26,15.0,34.6,524
2026-04-23 17:35:28,15.0,34.6,516
2026-04-23 17:35:30,15.0,34.6,523
2026-04-23 17:35:32,15.0,34.6,517
2026-04-23 17:35:34,15.0,34.6,522
2026-04-23 17:35:36,15.0,34.6,522
2026-04-23 17:35:38,15.0,34.6,513
2026-04-23 17:35:40,15.0,34.6,526
2026-04-23 17:35:42,15.0,34.6,520
2026-04-23 17:35:44,15.0,34.6,514
2026-04-23 17:35:46,15.0,34.6,525
2026-04-23 17:35:48,15.0,34.6,520
2026-04-23 17:35:50,15.0,34.6,511
2026-04-23 17:35:52,15.0,34.6,518
2026-04-23 17:35:54,15.0,34.6,522
2026-04-23 17:35:56,15.0,34.6,522
2026-04-23 17:35:58,15.0,34.6,522
2026-04-23 17:36:00,15.0,34.6,522
2026-04-23 17:36:02,15.0,34.6,523
2026-04-23 17:36:04,15.0,34.6,523
2026-04-23 17:36:06,15.0,34.6,518
2026-04-23 17:36:08,15.0,34.6,510
2026-04-23 17:36:10,15.0,34.6,512
2026-04-23 17:36:12,15.0,34.6,507
2026-04-23 17:36:14,15.0,34.6,512
2026-04-23 17:36:16,15.0,34.6,506
2026-04-23 17:36:18,14.0,34.6,499
2026-04-23 17:36:20,14.0,34.6,498
2026-04-23 17:36:22,14.0,34.6,507
2026-04-23 17:36:24,14.0,34.6,512
2026-04-23 17:36:26,14.0,34.6,516
2026-04-23 17:36:29,14.0,34.6,519
2026-04-23 17:36:31,14.0,34.6,519
2026-04-23 17:36:33,14.0,34.6,520
2026-04-23 17:36:35,14.0,34.6,518
2026-04-23 17:36:37,14.0,34.6,517
2026-04-23 17:36:39,14.0,34.6,516
2026-04-23 17:36:41,14.0,34.6,515
2026-04-23 17:36:43,14.0,34.6,511
2026-04-23 17:36:45,14.0,34.6,508
2026-04-23 17:36:47,14.0,34.6,511
2026-04-23 17:36:49,14.0,34.6,520
2026-04-23 17:36:51,14.0,34.6,507
2026-04-23 17:36:53,14.0,34.6,510
2026-04-23 17:36:55,15.0,34.6,515
2026-04-23 17:36:57,15.0,34.6,503
2026-04-23 17:36:59,15.0,34.6,514
2026-04-23 17:37:01,15.0,34.6,514
